X,Y,Z,start,end
65174.483588720825,12077.715576538096,-2727.6748676238612,2015-11-04T04:36:40.000000000,2015-11-04T04:38:40.000000000
66767.9241501662,14548.709671894254,-3022.605367406236,2015-11-04T05:07:45.000000000,2015-11-04T05:12:00.000000000
67422.34283845862,15712.12248949681,-3159.3457580600952,2015-11-04T05:23:00.000000000,2015-11-04T05:28:25.000000000
68929.36163664564,18976.658801038193,-3535.7281969591018,2015-11-04T06:08:40.000000000,2015-11-04T06:11:50.000000000
70325.06628524212,24625.711110224118,-4159.976579202918,2015-11-04T07:28:25.000000000,2015-11-04T07:38:00.000000000
70413.46745684027,26480.617811348227,-4356.646541153269,2015-11-04T08:00:00.000000000,2015-11-04T08:05:25.000000000
-5157.063858675671,145681.4315980622,32732.370679997413,2017-10-04T02:27:50.000000000,2017-10-04T02:56:55.000000000
3509.243840293577,144140.78076088728,32050.83154851767,2017-10-06T21:12:40.000000000,2017-10-06T21:35:35.000000000
2092.9734147109657,145692.35254686465,32793.47123061684,2017-10-06T22:10:40.000000000,2017-10-06T22:13:05.000000000
669.0124608281798,147107.88755559796,33507.176889169656,2017-10-06T22:56:15.000000000,2017-10-06T23:03:40.000000000
4582.592757440968,149822.2459683032,35120.126745279755,2017-10-09T19:54:15.000000000,2017-10-09T20:54:15.000000000
3431.745988484452,150706.28054604292,35637.61515266093,2017-10-09T20:54:15.000000000,2017-10-09T21:15:25.000000000
25000.915735752445,128108.08157042995,26459.948569664728,2017-10-12T06:59:13.000000000,2017-10-12T07:26:15.000000000
15883.041009802695,144821.72816533988,33013.901077985676,2017-10-12T13:13:30.000000000,2017-10-12T13:23:10.000000000
14974.316884474514,145940.15191515043,33527.767408350024,2017-10-12T13:50:00.000000000,2017-10-12T13:55:20.000000000
11347.101818715595,149642.14104666465,35384.06263098903,2017-10-12T15:37:00.000000000,2017-10-12T16:37:00.000000000
10069.085994238814,150690.404370127,35972.541081893665,2017-10-12T16:37:00.000000000,2017-10-12T17:10:50.000000000
9203.624246721829,151324.88391869166,36351.715004421596,2017-10-12T17:22:35.000000000,2017-10-12T17:27:30.000000000
5922.917073070331,153201.38935769195,37653.22533411226,2017-10-12T19:14:15.000000000,2017-10-12T19:33:20.000000000
3768.9979953131274,153999.51745776393,38396.00638709088,2017-10-12T20:11:00.000000000,2017-10-12T21:11:00.000000000
2588.0189989083083,154309.23758289972,38770.276217287006,2017-10-12T21:11:00.000000000,2017-10-12T21:35:35.000000000
-1038.1563728521983,154637.1194859975,39758.352373274996,2017-10-12T23:29:00.000000000,2017-10-12T23:36:30.000000000
-3702.7445345335946,154299.99962956528,40334.617303901614,2017-10-13T00:55:50.000000000,2017-10-13T01:20:20.000000000
-4902.717330190414,153989.7457807524,40552.99032482601,2017-10-13T01:48:30.000000000,2017-10-13T01:53:55.000000000
-6620.688745986562,153365.6719767626,40818.85221912257,2017-10-13T02:36:45.000000000,2017-10-13T03:08:30.000000000
-13620.537338656626,148578.40662150443,41317.138248503186,2017-10-13T07:02:10.000000000,2017-10-13T07:14:10.000000000
-17226.96711819923,144534.61483931207,41161.90028075961,2017-10-13T09:03:40.000000000,2017-10-13T09:44:20.000000000
30135.217087997426,129261.29533197076,27508.02881190707,2017-10-15T03:31:10.000000000,2017-10-15T03:33:10.000000000
27434.695837880394,135711.8927030426,29872.126506436853,2017-10-15T05:32:55.000000000,2017-10-15T05:39:35.000000000
24181.46838925813,141683.96079818995,32240.184448070195,2017-10-15T07:25:00.000000000,2017-10-15T08:25:00.000000000
23109.0838025321,143330.85361102223,32934.808576398005,2017-10-15T08:25:00.000000000,2017-10-15T08:53:25.000000000
9607.93542045441,154076.03531644237,38998.301237800384,2017-10-15T16:49:20.000000000,2017-10-15T17:32:00.000000000
7629.604972245136,154424.11572735454,39555.85877647451,2017-10-15T18:19:10.000000000,2017-10-15T18:24:50.000000000
6064.837830552976,154502.13804600682,39943.34996058171,2017-10-15T19:09:40.000000000,2017-10-15T19:26:20.000000000
3564.528043541862,154279.40717265406,40468.12062055337,2017-10-15T20:33:50.000000000,2017-10-15T21:00:00.000000000
2253.375052787385,153995.44492737242,40697.827690160026,2017-10-15T21:28:20.000000000,2017-10-15T21:38:40.000000000
1137.7794068879878,153660.8381991806,40867.93495112722,2017-10-15T22:03:40.000000000,2017-10-15T22:22:15.000000000
-862.6910479055873,152851.3514044276,41115.84300442207,2017-10-15T23:16:25.000000000,2017-10-15T23:31:10.000000000
-2453.525616235459,152012.03987941082,41259.605931379054,2017-10-16T00:09:30.000000000,2017-10-16T00:30:40.000000000
